iteration,max_diff,ave_diff,max_diff_true,ave_diff_true
93,0.000068448717,0.000031567828,0.044742228262,0.029300680762
94,0.000069117752,0.000032108624,0.044730453019,0.029322692005
95,0.000069047320,0.000032332286,0.044718495279,0.029345093097
96,0.000068278019,0.000032254327,0.044706356317,0.029367575327
97,0.000066853990,0.000031891827,0.044694037361,0.029389845155
98,0.000064822458,0.000031263252,0.044681539581,0.029411625736
99,0.000062233247,0.000030388268,0.044668864083,0.029432658261
100,0.000059138309,0.000029287548,0.044656011911,0.029452703117
101,0.000055591238,0.000027982581,0.044642984035,0.029471540857
102,0.000051646802,0.000026495479,0.044629781353,0.029488972984
103,0.000047360470,0.000024848791,0.044616404689,0.029504822549
104,0.000042787956,0.000023065310,0.044602854787,0.029518934562
105,0.000037984779,0.000021167897,0.044589132313,0.029531176225
